State,Prevalence
Alaska,22.9
Arizona,14.4
California,10
Colorado,6.9
Connecticut,12.5
Delaware,15.1
District of Columbia,6.9
Georgia,12.6
Guam,17
Hawaii,16.1
Illinois,12.3
Indiana,6.9
Iowa,10.6
Kansas,9.9
Louisiana,18.6
Maryland,12.9
Massachusetts,11.2
Michigan,9.2
Minnesota,19.5
Mississippi,26.9
Missouri,12
Nebraska,11.9
Nevada,13.9
New Hampshire,11.6
New Mexico,16.5
New York,11.6
North Carolina,18.8
North Dakota,23.4
Ohio,12
Oklahoma,18.1
Oregon,16.6
Pennsylvania,8.4
Rhode Island,9.5
South Carolina,20.6
Texas,13.2
Utah,10.3
Virginia,12.4
Washington,9.9
Wisconsin,15.9
