State,Prevalence
Alabama,48.1
Alaska,43.7
Arizona,38.9
Arkansas,47
California,40.6
Colorado,30.9
Connecticut,42.9
Delaware,42.6
District of Columbia,38.7
Georgia,41.2
Guam,28.1
Hawaii,30.2
Idaho,44.5
Illinois,39.5
Indiana,42.1
Iowa,44
Kansas,42.4
Kentucky,44.7
Louisiana,44.9
Maine,29.2
Maryland,41.7
Massachusetts,33.9
Michigan,42.5
Minnesota,35.1
Mississippi,47.1
Missouri,41.8
Nebraska,39.9
Nevada,33.8
New Hampshire,30.1
New Mexico,39.5
New York,36.1
North Carolina,48.8
North Dakota,25.2
Ohio,42.7
Oklahoma,43.9
Oregon,29.8
Pennsylvania,42.8
Rhode Island,37.8
South Carolina,45.2
South Dakota,34
Tennessee,45.8
Texas,40.5
Utah,28.9
Vermont,38.4
Virginia,44.8
Washington,35.4
West Virginia,45.4
Wisconsin,51.8
Wyoming,29.3
