State,Prevalence
Alabama,37.9
Alaska,37.7
Arizona,36.5
Arkansas,33.7
California,37
Colorado,31.4
Connecticut,35.5
Delaware,36.3
District of Columbia,26.3
Georgia,36.1
Guam,36.3
Hawaii,32
Idaho,34.5
Illinois,38.3
Indiana,41
Iowa,36
Kansas,39
Kentucky,35.6
Louisiana,33.9
Maine,31.4
Maryland,32.8
Massachusetts,32.5
Michigan,43.2
Minnesota,34.2
Mississippi,40
Missouri,37.2
Montana,35.1
Nebraska,36.6
Nevada,34
New Hampshire,32.8
New Mexico,35.9
New York,31
North Carolina,31.7
North Dakota,36.8
Ohio,37.1
Oklahoma,38.6
Oregon,36.1
Pennsylvania,32.7
Puerto Rico,33.4
Rhode Island,35.7
South Carolina,31.1
South Dakota,45.2
Tennessee,34.9
Texas,41
Utah,34.6
Vermont,22.9
Virginia,31.9
Washington,34.4
West Virginia,42.9
Wisconsin,35.8
Wyoming,34
