State,Prevalence,95% CI
Alabama,37.9,"(30.1, 46.4)"
Alaska,37.7,"(30.7, 45.2)"
Arizona,36.5,"(34.5, 38.5)"
Arkansas,33.7,"(28.0, 39.9)"
California,37.0,"(35.4, 38.7)"
Colorado,31.4,"(29.8, 33.1)"
Connecticut,35.5,"(33.0, 38.0)"
Delaware,36.3,"(31.7, 41.2)"
District of Columbia,26.3,"(21.8, 31.4)"
Florida,Insufficient data*,Insufficient data*
Georgia,36.1,"(31.9, 40.4)"
Guam,36.3,"(29.4, 43.9)"
Hawaii,32.0,"(29.1, 35.1)"
Idaho,34.5,"(30.8, 38.5)"
Illinois,38.3,"(34.3, 42.5)"
Indiana,41.0,"(37.5, 44.7)"
Iowa,36.0,"(32.9, 39.3)"
Kansas,39.0,"(36.3, 41.9)"
Kentucky,35.6,"(27.8, 44.2)"
Louisiana,33.9,"(28.0, 40.4)"
Maine,31.4,"(25.0, 38.6)"
Maryland,32.8,"(30.3, 35.5)"
Massachusetts,32.5,"(29.6, 35.5)"
Michigan,43.2,"(38.4, 48.2)"
Minnesota,34.2,"(31.6, 37.0)"
Mississippi,40.0,"(28.9, 52.2)"
Missouri,37.2,"(32.1, 42.7)"
Montana,35.1,"(29.3, 41.3)"
Nebraska,36.6,"(34.1, 39.2)"
Nevada,34.0,"(30.8, 37.3)"
New Hampshire,32.8,"(26.0, 40.5)"
New Jersey,Insufficient data*,Insufficient data*
New Mexico,35.9,"(34.2, 37.5)"
New York,31.0,"(29.4, 32.7)"
North Carolina,31.7,"(28.5, 35.1)"
North Dakota,36.8,"(29.7, 44.5)"
Ohio,37.1,"(32.7, 41.8)"
Oklahoma,38.6,"(34.8, 42.6)"
Oregon,36.1,"(32.9, 39.3)"
Pennsylvania,32.7,"(28.6, 37.1)"
Puerto Rico,33.4,"(32.3, 34.5)"
Rhode Island,35.7,"(32.5, 39.1)"
South Carolina,31.1,"(25.5, 37.3)"
South Dakota,45.2,"(35.2, 55.6)"
Tennessee,34.9,"(28.4, 42.0)"
Texas,41.0,"(39.0, 43.1)"
Utah,34.6,"(32.4, 36.9)"
Vermont,22.9,"(15.7, 32.0)"
Virgin Islands,Insufficient data*,Insufficient data*
Virginia,31.9,"(28.7, 35.4)"
Washington,34.4,"(32.2, 36.8)"
West Virginia,42.9,"(34.1, 52.2)"
Wisconsin,35.8,"(30.3, 41.7)"
Wyoming,34.0,"(29.2, 39.3)",,
